genes,group
HAVCR2,immune
LAG3,immune
CTLA4,immune
PDCD1,immune
BTLA,immune
CD274,immune
CD28,immune
TNFRSF4,immune
CD40LG,immune
LGALS9,immune
CTLA4,immune
PDCD1,immune
HAVCR2,immune
BTLA,immune
LAG3,immune
CD28,immune
TNFRSF4,immune
CD40LG,immune
CD226,immune
TIGIT,immune
CD96,immune
CD276,immune
VSIR,immune
HLA-DRB1,immune
CD80,immune
CD86,immune
CD274,immune
PDCD1LG2,immune
TNFRSF14,immune
CD40,immune
HAVCR2,immune
TMIGD2,immune
HHLA2,immune
CLEC4G,immune
TNFRSF14,immune
LGALS9,immune
CD274,immune
PDCD1LG2,immune
CD80,immune
CD86,immune
CD40,immune
FGL1,immune
NECTIN2,immune
PVR,immune
CEACAM1,immune
HMGB1,immune
PTDSS1,immune
ICOS,immune
ICOSLG,immune
TNFRSF18,immune
TNFSF18,immune
CD27,immune
CD70,immune
HLA-E,immune
KLRD1,immune
KLRC1,immune
HLA-A,immune
HLA-B,immune
HLA-C,immune
KIR2DL1,immune
KIR2DL2,immune
KIR2DL3,immune
KIR3DL1,immune
IDO1,immune
CD47,immune
SIRPA,immune
CD226,immune
TNFRSF9,immune
CD94,immune
NKG2A,immune
COL1A1,ECM
COL1A2,ECM
COL2A1,ECM
COL4A2,ECM
COL4A4,ECM
COL4A6,ECM
COL4A1,ECM
COL4A5,ECM
COL4A3,ECM
COL6A1,ECM
COL6A2,ECM
COL6A3,ECM
COL6A6,ECM
COL6A5,ECM
COL9A1,ECM
COL9A2,ECM
COL9A3,ECM
LAMA1,ECM
LAMA2,ECM
LAMA3,ECM
LAMA5,ECM
LAMA4,ECM
LAMB1,ECM
LAMB2,ECM
LAMB3,ECM
LAMB4,ECM
LAMC1,ECM
LAMC2,ECM
LAMC3,ECM
CHAD,ECM
RELN,ECM
THBS1,ECM
COMP,ECM
THBS2,ECM
THBS3,ECM
THBS4,ECM
FN1,ECM
SPP1,ECM
VTN,ECM
TNC,ECM
TNN,ECM
TNR,ECM
TNXB,ECM
VWF,ECM
IBSP,ECM
AGRN,ECM
HSPG2,ECM
ITGA1,ECM
ITGA2,ECM
ITGA2B,ECM
ITGA3,ECM
ITGA4,ECM
ITGA5,ECM
ITGA6,ECM
ITGA7,ECM
ITGA8,ECM
ITGA9,ECM
ITGA10,ECM
ITGA11,ECM
ITGAV,ECM
ITGB1,ECM
ITGB3,ECM
ITGB4,ECM
ITGB5,ECM
ITGB6,ECM
ITGB7,ECM
ITGB8,ECM
CD44,ECM
SDC1,ECM
SDC4,ECM
SV2C,ECM
SV2B,ECM
SV2A,ECM
CD36,ECM
GP5,ECM
GP1BA,ECM
GP1BB,ECM
GP9,ECM
GP6,ECM
DAG1,ECM
CD47,ECM
HMMR,ECM
CCL1,chemokine
CCL2,chemokine
CCL3,chemokine
CCL3L1,chemokine
CCL3L3,chemokine
CCL4,chemokine
CCL4L1,chemokine
CCL4L2,chemokine
CCL5,chemokine
CCL7,chemokine
CCL8,chemokine
CCL11,chemokine
CCL13,chemokine
CCL14,chemokine
CCL15,chemokine
CCL16,chemokine
CCL17,chemokine
CCL18,chemokine
CCL19,chemokine
CCL20,chemokine
CCL21,chemokine
CCL22,chemokine
CCL23,chemokine
CCL24,chemokine
CCL25,chemokine
CCL26,chemokine
CCL27,chemokine
CCL28,chemokine
CXCL1,chemokine
CXCL2,chemokine
CXCL3,chemokine
CXCL5,chemokine
CXCL6,chemokine
CXCL8,chemokine
CXCL9,chemokine
CXCL10,chemokine
CXCL11,chemokine
CXCL12,chemokine
CXCL13,chemokine
CXCL14,chemokine
CXCL16,chemokine
CXCL17,chemokine
CX3CL1,chemokine
XCL1,chemokine
XCL2,chemokine
EGF,growth
VEGF,growth
PDGF,growth
HGF,growth
HDGF,growth
AMH,growth
GDF1,growth
GDF2,growth
GDF3,growth
GDF5,growth
GDF6,growth
GDF7,growth
GDF9,growth
GDF10,growth
GDF11,growth
GDF15,growth
LEFTY1,growth
LEFTY2,growth
MSTN,growth
NODAL,growth
TGFB1,growth
TGFB2,growth
TGFB3,growth
FGF1,growth
FGF2,growth
FGF3,growth
FGF4,growth
FGF5,growth
FGF6,growth
FGF7,growth
FGF8,growth
FGF9,growth
FGF10,growth
FGF11,growth
FGF12,growth
FGF13,growth
FGF14,growth
FGF16,growth
FGF17,growth
FGF18,growth
FGF19,growth
FGF20,growth
FGF21,growth
FGF22,growth
FGF23,growth
TNF,growth
